CaseID,Opened,Closed,Updated,Status,Responsible Agency,Category,Request Type,Request Details,Address,Neighborhood,Supervisor District,Point,Source,Media URL
3643849,05/14/2014 10:50:13 PM,05/15/2014 10:50:12 AM,05/15/2014 10:50:12 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Mattress,"53 WOODWARD ST, SAN FRANCISCO, CA, 94103",Mission,9.0,POINT (-122.42078497 37.76902601),Phone,
3643839,05/14/2014 10:42:47 PM,05/16/2014 03:41:39 PM,05/16/2014 03:41:39 PM,Closed,MUNI Work Queue,MUNI Feedback,MUNI - Commendation,401_Employee_Commendation,Not associated with a specific address,,,POINT (0 0),Phone,
3643832,05/14/2014 10:36:37 PM,05/15/2014 10:41:50 AM,05/15/2014 10:41:50 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"706 GREEN ST, SAN FRANCISCO, CA, 94133",Russian Hill,3.0,POINT (-122.41091919 37.79937744),Phone,
3643821,05/14/2014 10:26:58 PM,05/15/2014 04:23:56 PM,05/15/2014 04:23:56 PM,Closed,RPD GGP Queue,Rec and Park Requests,Park - Park_Patrol,Lock_Out_Other,"GGP Polo Fields and Stadium, , SAN FRANCISCO, CA, 94122",Golden Gate Park,1.0,POINT (-122.49274223 37.76816387),Phone,
3643817,05/14/2014 10:24:43 PM,06/12/2014 02:16:34 PM,06/12/2014 02:16:34 PM,Closed,DPT SignShop Surveyed - Area 2 Queue,Sign Repair,Sign - Defaced,Other - Defaced; support - OK,"3901 GEARY BLVD, SAN FRANCISCO, CA, 94118",Inner Richmond,1.0,POINT (-122.46132514 37.78106691),Mobile/Open311,http://mobile311.sfgov.org/reports/3643817/photos
3643815,05/14/2014 10:22:49 PM,05/17/2014 01:30:02 AM,05/17/2014 01:30:02 AM,Closed,DPT Signal Queue,Damaged Property,Damaged Traffic_Signal,Traffic_Signal,Intersection of LAGUNA ST and TURK ST,Cathedral Hill,5.0,POINT (-122.42720032 37.78111649),Phone,
3643812,05/14/2014 10:20:50 PM,05/15/2014 11:06:09 AM,05/15/2014 11:06:09 AM,Closed,RPD GGP Queue,General Request - RPD,complaint,neighborhood_services - complaint,"GGP Polo Fields and Stadium, , SAN FRANCISCO, CA, 94122",Golden Gate Park,1.0,POINT (-122.49274223 37.76816387),Phone,
3643802,05/14/2014 10:12:17 PM,05/15/2014 09:39:01 AM,05/15/2014 09:39:01 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"1490 JACKSON ST, SAN FRANCISCO, CA, 94109",Nob Hill,3.0,POINT (-122.41958309 37.79464148),Mobile/Open311,http://mobile311.sfgov.org/reports/3643802/photos
3643795,05/14/2014 10:06:06 PM,05/18/2014 02:24:44 PM,05/18/2014 02:24:44 PM,Closed,PG and E - Streetlights Queue,Streetlights,Streetlight - Light_Flickering_On_Off,Light_Flickering_On_Off on Wooden Pole,"2745 MCALLISTER ST, SAN FRANCISCO, CA, 94118",Lone Mountain,1.0,POINT (-122.45735168 37.77531815),Mobile/Open311,
3643794,05/14/2014 10:04:50 PM,05/14/2014 11:45:00 AM,05/14/2014 11:45:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of NOE ST and HENRY ST,Duboce Triangle,8.0,POINT (-122.43333435 37.7666626),Web,
3643793,05/14/2014 10:04:28 PM,07/08/2014 03:35:42 PM,07/08/2014 03:35:42 PM,Closed,DPT SignShop Surveyed - Area 1 Queue,Sign Repair,Sign - Missing,Stop - Missing; support - OK,Intersection of 20TH ST and INDIANA ST,Dogpatch,10.0,POINT (-122.39139899 37.76037931),Mobile/Open311,
3643791,05/14/2014 10:03:51 PM,05/14/2014 11:13:50 PM,05/14/2014 11:13:50 PM,Closed,PUC - Water - G,General Request - PUC,request_for_service,water - request_for_service,Not associated with a specific address,,,POINT (0 0),Web,
3643790,05/14/2014 10:02:53 PM,05/15/2014 01:08:37 PM,05/15/2014 01:08:37 PM,Closed,PG and E - Streetlights Queue,Streetlights,Streetlight - Light_Flickering_On_Off,Light_Flickering_On_Off on Wooden Pole,Intersection of NORFOLK ST and FOLSOM ST,South of Market,6.0,POINT (-122.41452789 37.77140427),Phone,
3643789,05/14/2014 10:02:22 PM,05/20/2014 08:40:52 AM,05/20/2014 08:40:52 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,red - Pontiac - Grand Am - 5DZN786,"189 COLLINS ST, SAN FRANCISCO, CA, 94118",Laurel Heights / Jordan Park,2.0,POINT (-122.45030212 37.78256226),Web,
3643775,05/14/2014 09:54:35 PM,05/15/2014 11:22:24 AM,05/15/2014 11:22:24 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Electronics,"50 MONETA WAY, SAN FRANCISCO, CA, 94112",Outer Mission,11.0,POINT (-122.44938617 37.71315325),Phone,
3643756,05/14/2014 09:45:27 PM,05/18/2014 02:20:20 PM,05/18/2014 02:20:20 PM,Closed,PG and E - Streetlights Queue,Streetlights,Streetlight - Light_Flickering_On_Off,Light_Flickering_On_Off on Wooden Pole,"3241 21ST ST, SAN FRANCISCO, CA, 94110",Mission,9.0,POINT (-122.41978455 37.75687027),Web,
3643747,05/14/2014 09:41:05 PM,05/15/2014 02:59:41 AM,05/15/2014 02:59:41 AM,Closed,DPW Ops Queue,Litter Receptacles,Cans_Left_Out_24x7,,Not associated with a specific address,,,POINT (0 0),Web,
3643746,05/14/2014 09:40:52 PM,05/20/2014 08:07:03 AM,05/20/2014 08:07:03 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Other,white - GMC - Savana - 13528K1,Intersection of PACIFIC AVE and PRESIDIO AVE,Presidio Heights,2.0,POINT (-122.44767872 37.79170287),Phone,
3643743,05/14/2014 09:37:40 PM,05/15/2014 07:29:43 AM,05/15/2014 07:29:43 AM,Closed,SFMTA - Temporary Sign Request Queue,Temporary Sign Request,Temporary Sign Request for Other_Event_Type,160 ft zone requested from 05/19/2014 to 05/19/2014,Not associated with a specific address,,,POINT (0 0),Web,
3643736,05/14/2014 09:32:46 PM,05/18/2014 02:23:18 PM,05/18/2014 02:23:18 PM,Closed,PG and E - Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Wooden Pole,"735 BRUNSWICK ST, SAN FRANCISCO, CA, 94112",Crocker Amazon,11.0,POINT (-122.44841003 37.70869446),Web,
3643714,05/14/2014 09:07:13 PM,08/21/2014 05:29:52 PM,08/21/2014 05:29:52 PM,Closed,Housing Authority SR Queue,SFHA Requests,Plumbing,Plumbing - Urgent,"129 DAKOTA ST, SAN FRANCISCO, CA, 94107",Potrero Hill,10.0,POINT (-122.39600372 37.75379944),Phone,
3643711,05/14/2014 09:05:53 PM,08/21/2014 05:29:51 PM,08/21/2014 05:29:51 PM,Closed,Housing Authority SR Queue,SFHA Requests,Electrical,Electrical - Emergency,"BUILDING 101 - 129 DAKOTA STREET, , SAN FRANCISCO, CA, 94107",Potrero Hill,10.0,POINT (-122.39565277 37.75381088),Phone,
3643710,05/14/2014 09:05:49 PM,03/07/2022 05:30:29 PM,03/07/2022 05:30:29 PM,Closed,DPW BSSR Queue,Street Defects,Pavement_Defect,Pavement_Defect,Intersection of ASHBURY ST and PAGE ST,Haight Ashbury,5.0,POINT (-122.44744211 37.77088076),Mobile/Open311,http://mobile311.sfgov.org/reports/3643710/photos
3643703,05/14/2014 09:02:14 PM,05/15/2014 07:48:44 AM,05/15/2014 07:48:44 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - PickupTruck,white - Ford - F250 - 5Y90971,Intersection of BRENTWOOD AVE and MANGELS AVE,Westwood Highlands,7.0,POINT (-122.45426941 37.7330246),Web,
3643680,05/14/2014 08:52:04 PM,05/16/2014 03:32:14 PM,05/16/2014 03:32:14 PM,Closed,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Inattentiveness_Negligence,206_Not_Adhering_to_Schedule,Intersection of VICENTE ST and 19TH AVE,Parkside,7.0,POINT (-122.47541046 37.73932648),Phone,
3643674,05/14/2014 08:46:53 PM,05/16/2014 07:31:27 AM,05/16/2014 07:31:27 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - PickupTruck,white - Ford - F250 - 5Y90971,Intersection of BRENTWOOD AVE and MANGELS AVE,Westwood Highlands,7.0,POINT (-122.45426941 37.7330246),Web,
3643667,05/14/2014 08:41:17 PM,05/15/2014 03:07:31 AM,05/15/2014 03:07:31 AM,Closed,Recology_Overflowing,Street and Sidewalk Cleaning,Overflowing_City_Receptacle_or_Dumpster,Overflowing_City_Receptacle_or_Dumpster,Intersection of 24TH ST and HARRISON ST,Mission,9.0,POINT (-122.41201381 37.75267673),Mobile/Open311,http://mobile311.sfgov.org/reports/3643667/photos
3643664,05/14/2014 08:40:27 PM,05/15/2014 04:31:49 PM,05/15/2014 04:31:49 PM,Closed,PUC Sewer Ops,Sewer Issues,Odor,From_other_location,Intersection of CHULA LN and DOLORES ST,Mission Dolores,8.0,POINT (-122.42613881 37.76396125),Mobile/Open311,
3643663,05/14/2014 08:40:10 PM,05/15/2014 09:12:12 AM,05/15/2014 09:12:12 AM,Closed,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Outofsewervent4inch,"137 SAINT MARYS AVE, SAN FRANCISCO, CA, 94112",St. Mary's Park,8.0,POINT (-122.42802623 37.73471123),Phone,
3643655,05/14/2014 08:36:14 PM,05/16/2014 07:31:55 AM,05/16/2014 07:31:55 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car2door,red - Saturn -  - 6rjx942,Intersection of MORAGA ST and 45TH AVE,Outer Sunset,4.0,POINT (-122.5044632 37.754879),Web,
3643646,05/14/2014 08:32:34 PM,05/15/2014 08:42:08 AM,05/15/2014 08:42:08 AM,Closed,PUC - Sewer - G,General Request - PUC,request_for_service,sewer - request_for_service,"760 DIVISADERO ST, SAN FRANCISCO, CA, 94117",Alamo Square,5.0,POINT (-122.43799591 37.77650452),Integrated Agency,
3643633,05/14/2014 08:25:13 PM,05/15/2014 01:09:55 AM,05/15/2014 01:09:55 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of 30TH AVE and CLEMENT ST,Outer Richmond,1.0,POINT (-122.49023129 37.78177353),Phone,
3643619,05/14/2014 08:19:35 PM,05/20/2014 08:07:42 AM,05/20/2014 08:07:42 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Other,White - Chevrolet - Fleetwood RV - 7v94457,"14 SOUTHERN HEIGHTS AVE, SAN FRANCISCO, CA, 94107",Potrero Hill,10.0,POINT (-122.40037537 37.75804901),Web,
3643617,05/14/2014 08:18:56 PM,04/11/2016 05:12:04 AM,04/11/2016 05:12:04 AM,Closed,DPW Ops Queue,Street Defects,Pavement_Defect,Pavement_Defect,Intersection of BUSH ST and DIVISADERO ST,Lower Pacific Heights,2.0,POINT (-122.44006348 37.78617859),Web,
3643616,05/14/2014 08:18:32 PM,05/15/2014 11:17:36 AM,05/15/2014 11:17:36 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Mattress,"37 RIZAL ST, SAN FRANCISCO, CA, 94107",South of Market,6.0,POINT (-122.39904697 37.78207823),Mobile/Open311,http://mobile311.sfgov.org/reports/3643616/photos
3643613,05/14/2014 08:18:22 PM,05/15/2014 01:10:33 AM,05/15/2014 01:10:33 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of 10TH AVE and ANZA ST,Inner Richmond,1.0,POINT (-122.46842659 37.77889546),Phone,
3643608,05/14/2014 08:14:36 PM,05/15/2014 12:10:00 PM,05/15/2014 12:10:00 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"847 FILBERT ST, SAN FRANCISCO, CA, 94133",Russian Hill,3.0,POINT (-122.4134234 37.80081208),Phone,
3643599,05/14/2014 08:11:29 PM,05/19/2014 02:31:19 AM,05/19/2014 02:31:19 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Building_commercial,Building_commercial - Not_Offensive,"675 POST ST, SAN FRANCISCO, CA, 94109",Lower Nob Hill,3.0,POINT (-122.41279078 37.78767842),Phone,
3643594,05/14/2014 08:10:07 PM,05/19/2014 11:25:05 AM,05/19/2014 11:25:05 AM,Closed,DPT - Other - G,General Request - PUBLIC WORKS,request_for_service,bssr - request_for_service,"322 EL CAMINO DEL MAR, SAN FRANCISCO, CA, 94121",Seacliff,1.0,POINT (-122.48662161 37.78760301),Phone,
3643586,05/14/2014 08:03:24 PM,11/21/2017 09:00:36 AM,11/21/2017 09:00:36 AM,Closed,Housing Authority SR Queue,SFHA Requests,Plumbing,Plumbing - Emergency,"91 BROOKDALE AVE, SAN FRANCISCO, CA, 94134",Sunnydale,10.0,POINT (-122.42099762 37.71210098),Phone,
3643584,05/14/2014 08:03:11 PM,05/16/2014 03:23:58 PM,05/16/2014 03:23:58 PM,Closed,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Unsafe_Operation,108_General_Careless_Operation,Intersection of LAKEVIEW AVE and SAN JOSE AVE,Oceanview,11.0,POINT (-122.45037842 37.71616745),Phone,
3643579,05/14/2014 08:00:27 PM,05/15/2014 05:34:58 AM,05/15/2014 05:34:58 AM,Closed,Recology_Overflowing,Street and Sidewalk Cleaning,Overflowing_City_Receptacle_or_Dumpster,Overflowing_City_Receptacle_or_Dumpster,Intersection of CABRILLO ST and LA PLAYA,Outer Richmond,1.0,POINT (-122.51007571 37.77325049),Mobile/Open311,http://mobile311.sfgov.org/reports/3643579/photos
3643570,05/14/2014 07:58:03 PM,06/06/2014 02:58:55 PM,06/06/2014 02:58:55 PM,Closed,Port Authority - G,General Request - PORT AUTHORITY,request_for_service,port_authority - request_for_service,"602 THE EMBARCADERO, SAN FRANCISCO, CA, 94111",Northern Waterfront,3.0,POINT (-122.39903771 37.8010199),Phone,http://mobile311.sfgov.org/reports/3643570/photos
3643569,05/14/2014 07:55:44 PM,05/20/2014 08:37:17 AM,05/20/2014 08:37:17 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,silver - honda - accord - VMX883,"715 ASHBURY ST, SAN FRANCISCO, CA, 94117",Haight Ashbury,5.0,POINT (-122.44675183 37.76875934),Phone,
3643561,05/14/2014 07:53:57 PM,05/16/2014 03:25:01 PM,05/16/2014 03:25:01 PM,Closed,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Inattentiveness_Negligence,205_Offroute_Did_Not_Complete_Route,Intersection of GREAT HWY and SLOAT BLVD,Parkside,4.0,POINT (-122.50613403 37.73557281),Phone,
3643553,05/14/2014 07:51:44 PM,05/14/2014 09:08:00 AM,05/14/2014 09:08:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Medical Waste,Needles,"39 FELL ST, SAN FRANCISCO, CA, 94102",Civic Center,6.0,POINT (-122.418434 37.77594),Mobile/Open311,
3643551,05/14/2014 07:50:39 PM,05/16/2014 07:30:41 AM,05/16/2014 07:30:41 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,green  - toyota - forerunner - 6wal333,Intersection of COTTER ST and CAYUGA AVE,Mission Terrace,11.0,POINT (-122.43575151 37.72867039),Phone,
3643545,05/14/2014 07:48:53 PM,05/15/2014 12:19:00 PM,05/15/2014 12:19:00 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"155 HARRIET ST, SAN FRANCISCO, CA, 94103",South of Market,6.0,POINT (-122.4051507 37.77751771),Phone,
3643540,05/14/2014 07:44:34 PM,05/15/2014 10:36:11 AM,05/15/2014 10:36:11 AM,Closed,RPD Urban Forestry Queue,Rec and Park Requests,Park - UrbanForestry,Other,"1119 BRAZIL AVE, SAN FRANCISCO, CA, 94112",Excelsior,11.0,POINT (-122.425348 37.72049236),Mobile/Open311,http://mobile311.sfgov.org/reports/3643540/photos
3643532,05/14/2014 07:40:53 PM,05/15/2014 07:15:56 AM,05/15/2014 07:15:56 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Signal_box,Signal_box - Not_Offensive,"755 OCEAN AVE, SAN FRANCISCO, CA, 94112",Oceanview,11.0,POINT (-122.44893405 37.72281354),Phone,http://mobile311.sfgov.org/reports/3643532/photos
3643531,05/14/2014 07:40:46 PM,11/03/2014 10:53:12 AM,11/03/2014 10:53:12 AM,Closed,RPD Park Service Area 3 Queue,Rec and Park Requests,Park - UrbanForestry,Other,"1119 BRAZIL AVE, SAN FRANCISCO, CA, 94112",Excelsior,11.0,POINT (-122.425348 37.72049236),Mobile/Open311,http://mobile311.sfgov.org/reports/3643531/photos
3643529,05/14/2014 07:40:35 PM,05/14/2014 08:00:32 PM,05/14/2014 08:00:32 PM,Closed,311 Supervisor Queue,Graffiti,Graffiti on Other_enter_additional_details_below,Other_enter_additional_details_below - Offensive,"602 THE EMBARCADERO, SAN FRANCISCO, CA, 94111",Northern Waterfront,3.0,POINT (-122.387471 37.783487),Mobile/Open311,http://mobile311.sfgov.org/reports/3643529/photos
3643523,05/14/2014 07:39:21 PM,05/15/2014 10:28:02 AM,05/15/2014 10:28:02 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"497 MONTEREY BLVD, SAN FRANCISCO, CA, 94112",Sunnyside,7.0,POINT (-122.4465874 37.73142051),Mobile/Open311,http://mobile311.sfgov.org/reports/3643523/photos
3643521,05/14/2014 07:38:40 PM,05/15/2014 10:28:16 AM,05/15/2014 10:28:16 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"497 MONTEREY BLVD, SAN FRANCISCO, CA, 94112",Sunnyside,7.0,POINT (-122.44660333 37.73142839),Mobile/Open311,http://mobile311.sfgov.org/reports/3643521/photos
3643515,05/14/2014 07:35:48 PM,05/16/2014 03:26:52 PM,05/16/2014 03:26:52 PM,Closed,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Conduct_Discourteous_Insensitive_Inappropriate_Conduct,301_Discourtesy_to_Customer,Not associated with a specific address,,,POINT (0 0),Web,
3643513,05/14/2014 07:35:19 PM,05/15/2014 10:35:12 AM,05/15/2014 10:35:12 AM,Closed,RPD Graffiti Queue,Rec and Park Requests,Park - Structural_Maintenance,Pavement,"John McLaren Park, , SAN FRANCISCO, CA, 94134",McLaren Park,10.0,POINT (-122.42338713 37.71906802),Mobile/Open311,http://mobile311.sfgov.org/reports/3643513/photos
3643512,05/14/2014 07:34:49 PM,05/16/2014 12:00:00 PM,05/16/2014 12:00:00 PM,Closed,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Damage_vandalism,Intersection of EASEMENT and LAWTON ST,Golden Gate Heights,7.0,POINT (-122.46529061 37.75847826),Mobile/Open311,
3643509,05/14/2014 07:32:48 PM,05/18/2014 11:57:39 AM,05/18/2014 11:57:39 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Building_residential,Building_residential - Not_Offensive,"1838 DIVISADERO ST, SAN FRANCISCO, CA, 94115",Lower Pacific Heights,2.0,POINT (-122.44001516 37.78654139),Phone,
3643506,05/14/2014 07:31:42 PM,06/18/2014 11:48:48 AM,06/18/2014 11:48:48 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Building_commercial,Building_commercial - Not_Offensive,"1836 DIVISADERO ST, SAN FRANCISCO, CA, 94115",Lower Pacific Heights,2.0,POINT (-122.44001516 37.78654139),Phone,
3643505,05/14/2014 07:30:09 PM,06/18/2014 10:58:08 AM,06/18/2014 10:58:08 AM,Closed,DPW Ops Queue,Graffiti,Graffiti on Building_residential,Building_residential - Not_Offensive,"1816 DIVISADERO ST, SAN FRANCISCO, CA, 94115",Lower Pacific Heights,2.0,POINT (-122.43997921 37.78635793),Phone,
3643504,05/14/2014 07:29:51 PM,05/20/2014 08:04:30 AM,05/20/2014 08:04:30 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,cream  - Suburu -  - 7DIA296,"1168 VALLEJO ST, SAN FRANCISCO, CA, 94109",Russian Hill,3.0,POINT (-122.41652005 37.79766054),Phone,
3643497,05/14/2014 07:28:08 PM,11/03/2014 10:46:58 AM,11/03/2014 10:46:58 AM,Closed,RPD Park Service Area 3 Queue,Rec and Park Requests,Park - Structural_Maintenance,Pavement,"John McLaren Park, , SAN FRANCISCO, CA, 94134",McLaren Park,10.0,POINT (-122.42445398 37.71747014),Mobile/Open311,http://mobile311.sfgov.org/reports/3643497/photos
3643495,05/14/2014 07:27:53 PM,05/20/2014 08:03:57 AM,05/20/2014 08:03:57 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,black  - Suburu -  - 6VAN830,"1156 VALLEJO ST, SAN FRANCISCO, CA, 94109",Russian Hill,3.0,POINT (-122.41633031 37.7976856),Phone,
3643492,05/14/2014 07:26:37 PM,05/15/2014 11:17:32 AM,05/15/2014 11:17:32 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Electronics,"221 CLARA ST, SAN FRANCISCO, CA, 94107",South of Market,6.0,POINT (-122.40300444 37.77888782),Mobile/Open311,http://mobile311.sfgov.org/reports/3643492/photos
3643487,05/14/2014 07:26:15 PM,05/20/2014 08:03:30 AM,05/20/2014 08:03:30 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,red - Hyundai -  - 6TDT,"1150 VALLEJO ST, SAN FRANCISCO, CA, 94109",Russian Hill,3.0,POINT (-122.41623363 37.79769541),Phone,
3643482,05/14/2014 07:25:20 PM,05/15/2014 10:35:55 AM,05/15/2014 10:35:55 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"212 CLARA ST, SAN FRANCISCO, CA, 94107",South of Market,6.0,POINT (-122.40279146 37.77916757),Mobile/Open311,http://mobile311.sfgov.org/reports/3643482/photos
3643478,05/14/2014 07:23:44 PM,05/20/2014 08:05:04 AM,05/20/2014 08:05:04 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - SUV,green - Cherokee - Jeep - 748FA,"1157 VALLEJO ST, SAN FRANCISCO, CA, 94109",Russian Hill,3.0,POINT (-122.41630671 37.79757611),Phone,
3643471,05/14/2014 07:20:09 PM,05/15/2014 03:10:37 AM,05/15/2014 03:10:37 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"24 BENTON AVE, SAN FRANCISCO, CA, 94112",St. Mary's Park,9.0,POINT (-122.42659805 37.73218818),Phone,
3643457,05/14/2014 07:16:28 PM,05/20/2014 07:45:08 AM,05/20/2014 07:45:08 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - PickupTruck,GREEN - Ford - F150 - 6N51723,"3529 QUINTARA ST, SAN FRANCISCO, CA, 94116",Outer Sunset,4.0,POINT (-122.50339508 37.74729919),Web,
3643445,05/14/2014 07:11:46 PM,05/23/2014 01:48:05 PM,05/23/2014 01:48:05 PM,Closed,DPT Meter_Bike Queue,Damaged Property,Damaged Parking_Meter,Parking_Meter,Intersection of MARIPOSA ST and TERRY A FRANCOIS BLVD,Dogpatch,6.0,POINT (-122.38791774 37.76437908),Phone,
